token_bin,page_count
0-999,46
1000-1999,2
2000-2999,1
3000-3999,2
4000-4999,3
5000-5999,0
6000-6999,1
7000-7999,1
8000-8999,3
9000-9999,10
10000-10999,2
11000-11999,10
12000-12999,6
13000-13999,7
14000-14999,3
15000-15999,2
16000-16999,7
17000-17999,4
18000-18999,4
19000-19999,8
20000-20999,1
21000-21999,15
22000-22999,7
23000-23999,5
24000-24999,4
25000-25999,12
26000-26999,2
27000-27999,7
28000-28999,6
29000-29999,6
30000-30999,8
31000-31999,9
32000-32999,15
33000-33999,21
34000-34999,20
35000-35999,15
36000-36999,25
37000-37999,37
38000-38999,35
39000-39999,43
40000-40999,19
41000-41999,23
42000-42999,28
43000-43999,10
44000-44999,16
45000-45999,8
46000-46999,7
47000-47999,9
48000-48999,7
49000-49999,3
50000-50999,2
51000-51999,2
52000-52999,2
53000-53999,2
54000-54999,0
55000-55999,2
56000-56999,2
57000-57999,2
58000-58999,2
59000-59999,2
60000-60999,0
61000-61999,1
62000-62999,1
63000-63999,1
64000-64999,1
65000-65999,1
66000-66999,0
67000-67999,0
68000-68999,2
69000-69999,2
70000-70999,1
71000-71999,0
72000-72999,0
73000-73999,0
74000-74999,0
75000-75999,0
76000-76999,0
77000-77999,0
78000-78999,0
79000-79999,0
80000-80999,0
81000-81999,0
82000-82999,0
83000-83999,0
84000-84999,0
85000-85999,1
